startX,startY,startZ,endX,endY,endZ,cyl_ID,parent_ID,axis_ID,branch_order,radius,length,volume,subtree_length
216727.100,5199919.968,195.456,216727.100,5199919.956,195.552,94,93,1738,2,0.150,0.097,0.00687,19.419
216727.100,5199919.956,195.552,216727.100,5199919.944,195.648,95,94,1738,2,0.149,0.097,0.00675,19.322
216727.100,5199919.944,195.648,216727.100,5199919.932,195.744,96,95,1738,2,0.150,0.097,0.00681,19.225
216727.100,5199919.932,195.744,216727.100,5199919.920,195.840,97,96,1738,2,0.150,0.096,0.00684,19.129
216727.100,5199919.920,195.840,216727.099,5199919.907,195.936,98,97,1738,2,0.150,0.097,0.00685,19.033
216727.099,5199919.907,195.936,216727.099,5199919.895,196.032,99,98,1738,2,0.150,0.097,0.00687,18.936
216727.099,5199919.895,196.032,216727.100,5199919.882,196.128,100,99,1738,2,0.150,0.097,0.00691,18.838
216727.100,5199919.882,196.128,216727.101,5199919.871,196.225,101,100,1738,2,0.151,0.097,0.00693,18.742
216727.101,5199919.871,196.225,216727.103,5199919.861,196.321,102,101,1738,2,0.151,0.097,0.00690,18.644
216727.103,5199919.861,196.321,216727.106,5199919.853,196.416,103,102,1738,2,0.152,0.096,0.00699,18.548
216727.106,5199919.853,196.416,216727.111,5199919.847,196.512,104,103,1738,2,0.155,0.096,0.00726,18.453
216727.111,5199919.847,196.512,216727.116,5199919.841,196.609,105,104,1738,2,0.154,0.097,0.00729,18.356
216727.116,5199919.841,196.609,216727.122,5199919.835,196.707,106,105,1738,2,0.151,0.098,0.00696,18.258
216727.122,5199919.835,196.707,216727.125,5199919.827,196.803,107,106,1738,2,0.147,0.097,0.00655,18.160
216727.125,5199919.827,196.803,216727.128,5199919.819,196.898,108,107,1738,2,0.144,0.096,0.00624,18.064
216727.128,5199919.819,196.898,216727.131,5199919.811,196.993,109,108,1738,2,0.143,0.095,0.00609,17.969
216727.131,5199919.811,196.993,216727.136,5199919.804,197.088,110,109,1738,2,0.144,0.096,0.00621,17.875
216727.136,5199919.804,197.088,216727.142,5199919.796,197.186,111,110,1738,2,0.145,0.098,0.00651,17.779
216727.142,5199919.796,197.186,216727.148,5199919.786,197.284,112,111,1738,2,0.147,0.099,0.00671,17.678
216727.188,5199921.023,195.153,216727.399,5199921.153,195.114,113,71,1735,2,0.002,0.251,0.00000,0.000
216726.199,5199920.957,195.256,216726.188,5199920.971,195.334,114,47,3127,2,0.132,0.079,0.00432,17.456
216726.188,5199920.971,195.334,216726.179,5199920.986,195.417,115,114,3127,2,0.131,0.085,0.00461,17.371
216726.179,5199920.986,195.417,216726.168,5199921.000,195.506,116,115,3127,2,0.132,0.090,0.00493,17.280
216726.168,5199921.000,195.506,216726.157,5199921.014,195.597,117,116,3127,2,0.133,0.093,0.00517,17.184
216727.214,5199921.036,195.345,216727.009,5199920.953,195.422,118,73,1724,2,0.013,0.234,0.00013,2.012
216727.009,5199920.953,195.422,216726.876,5199920.896,195.490,119,118,1724,2,0.012,0.161,0.00008,1.873
